record_id,date,department,employee_id,team,project_code,activity,co2_kg,energy_kwh,source,location,weekday,month,quarter,cost_usd,units_used,distance_km,hours_spent,paper_kg,water_liters,waste_kg,equipment_type,carbon_score,flag_high_emission,client
1,2024-06-26,Marketing,E4659,Team 9,P665,Activity 7,4964.34,2875.9,Aviation,Berlin,2,6,2,1799.7,650,618.6,11.7,13.6,955.2,19.7,AC,3.79,1,Client 20
2,2024-02-07,Sales,E9646,Team 3,P544,Activity 13,2673.92,2388.6,Car,Berlin,2,2,1,3510.32,305,724.8,2.0,9.6,11.9,94.1,AC,75.46,1,Client 11
3,2024-05-14,Operations,E2295,Team 8,P887,Activity 14,1956.87,714.1,Flights,Tokyo,1,5,2,1541.48,389,600.7,13.4,7.2,542.1,84.4,Flight,50.61,0,Client 33
4,2024-02-15,Operations,E3658,Team 6,P470,Activity 13,1072.05,2427.6,Gas,Berlin,3,2,1,4684.74,946,421.3,12.3,31.7,307.3,93.7,Flight,56.18,1,Client 37
5,2024-05-01,Marketing,E5866,Team 4,P199,Activity 12,4761.6,2178.2,Electricity,Berlin,2,5,2,1049.65,364,1194.0,16.3,27.7,842.2,17.3,Flight,84.58,0,Client 40
6,2024-02-21,Product,E3500,Team 2,P878,Activity 1,953.16,2872.2,Car,Tokyo,2,2,1,2796.04,496,1308.9,17.9,38.4,79.0,30.6,Printer,90.82,1,Client 38
7,2024-04-01,Product,E8366,Team 10,P502,Activity 16,3346.15,891.1,Heating,London,0,4,2,2424.34,968,1883.5,13.8,4.3,399.8,62.8,AC,39.24,1,Client 31
8,2024-01-27,Finance,E4634,Team 3,P630,Activity 2,1817.28,2584.9,Electricity,Tokyo,5,1,1,1030.97,870,24.5,17.1,6.7,534.0,98.9,Flight,27.89,1,Client 28
9,2024-03-22,Engineering,E2911,Team 4,P294,Activity 1,3502.15,2661.9,Flights,Delhi,4,3,1,4648.36,301,1467.5,1.9,40.3,837.1,67.8,Printer,32.06,1,Client 42
10,2024-03-29,Product,E3352,Team 8,P918,Activity 15,4434.64,1078.3,Aviation,Berlin,4,3,1,2647.61,578,995.2,11.7,29.0,684.3,58.1,Server,84.8,1,Client 10
11,2024-03-03,Engineering,E5502,Team 4,P972,Activity 3,1380.59,2050.7,Car,Delhi,6,3,1,4196.82,767,1359.9,22.9,29.1,501.7,45.1,Printer,12.84,0,Client 5
12,2024-01-28,Engineering,E1654,Team 8,P798,Activity 10,4802.45,1245.5,Gas,London,6,1,1,3826.16,216,1735.3,18.0,36.7,871.9,10.7,Laptop,43.29,1,Client 48
13,2024-02-23,Engineering,E7308,Team 4,P615,Activity 14,2936.36,288.6,Flights,Paris,4,2,1,866.09,530,128.1,18.2,10.3,975.1,25.0,Laptop,60.16,0,Client 7
